NCBITaxon:1	root	http://aims.fao.org/aos/agrovoc/c_6649	rooting	activities	,stages	
NCBITaxon:1	root	http://aims.fao.org/aos/agrovoc/c_6651	roots	entities	
NCBITaxon:100032	Keissleriella	http://aims.fao.org/aos/agrovoc/c_31750	Keissleriella	organisms	
NCBITaxon:1001333	Lithodes murrayi	http://aims.fao.org/aos/agrovoc/c_47024	Lithodes murrayi	organisms	
NCBITaxon:1001334	Neolithodes asperrimus	http://aims.fao.org/aos/agrovoc/c_47015	Neolithodes asperrimus	organisms	
NCBITaxon:1001336	Paralomis aculeata	http://aims.fao.org/aos/agrovoc/c_47031	Paralomis aculeata	organisms	
NCBITaxon:1001337	Paralomis anamerae	http://aims.fao.org/aos/agrovoc/c_47034	Paralomis anamerae	organisms	
NCBITaxon:100145	Galactia	http://aims.fao.org/aos/agrovoc/c_3165	Galactia	organisms	
NCBITaxon:100159	Ornithopus	http://aims.fao.org/aos/agrovoc/c_5423	Ornithopus	organisms	
NCBITaxon:1001664	Chama croceata	http://aims.fao.org/aos/agrovoc/c_47860	Chama savignyi	organisms	
NCBITaxon:100167	Psoralea	http://aims.fao.org/aos/agrovoc/c_6323	Psoralea	organisms	
NCBITaxon:1001677	Chama pacifica	http://aims.fao.org/aos/agrovoc/c_47859	Chama pacifica	organisms	
NCBITaxon:100168	Cullen cinereum	http://aims.fao.org/aos/agrovoc/c_6324	Psoralea cinerea	organisms	
NCBITaxon:100169	Pterocarpus	http://aims.fao.org/aos/agrovoc/c_6333	Pterocarpus	organisms	
NCBITaxon:100170	Pterocarpus indicus	http://aims.fao.org/aos/agrovoc/c_6337	Pterocarpus indicus	organisms	
NCBITaxon:100186	Amphistichus argenteus	http://aims.fao.org/aos/agrovoc/c_43796	Amphistichus argenteus	organisms	
NCBITaxon:100188	Brachyistius frenatus	http://aims.fao.org/aos/agrovoc/c_43787	Brachyistius frenatus	organisms	
NCBITaxon:100190	Embiotoca jacksoni	http://aims.fao.org/aos/agrovoc/c_43792	Embiotoca jacksoni	organisms	
NCBITaxon:100194	Hypsurus caryi	http://aims.fao.org/aos/agrovoc/c_43788	Hypsurus caryi	organisms	
